match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
18722,2022-11-13 11:30:00,Atalanta,Inter,2,3,59.86,0.413,0.3261,-0.1521,0.847,1501.77,1502.88
18725,2022-11-13 14:00:00,Verona,Spezia,1,2,58.49,0.4105,0.3275,-0.1485,0.847,1494.53,1497.01
18728,2022-11-13 14:00:00,Monza,Salernitana,3,0,58.16,0.4099,0.3279,-0.1476,1.695,1498.6,1498.99
18730,2022-11-13 14:00:00,Roma,Torino,1,1,61.94,0.4169,0.3239,-0.1577,1.255,1501.63,1499.89
18727,2022-11-13 17:00:00,AC Milan,Fiorentina,2,1,63.76,0.4203,0.3221,-0.1627,0.845,1504.08,1499.6
18726,2022-11-13 19:45:00,Juventus,Lazio,3,0,59.15,0.4117,0.3268,-0.1502,1.694,1504.27,1503.69
18737,2023-01-04 11:30:00,Salernitana,AC Milan,1,2,54.92,0.4039,0.3312,-0.1389,0.979,1498.44,1504.63
18738,2023-01-04 11:30:00,Sassuolo,Sampdoria,1,2,63.89,0.4205,0.3219,-0.163,0.975,1497.37,1494.61
18739,2023-01-04 13:30:00,Spezia,Atalanta,2,2,55.24,0.4045,0.3309,-0.1398,1.447,1496.91,1501.87
18740,2023-01-04 13:30:00,Torino,Verona,1,1,65.35,0.4233,0.3204,-0.167,1.447,1499.77,1494.65
18735,2023-01-04 15:30:00,Lecce,Lazio,2,1,55.41,0.4048,0.3307,-0.1402,0.978,1499.52,1503.27
18736,2023-01-04 15:30:00,Roma,Bologna,1,0,62.34,0.4177,0.3235,-0.1588,0.975,1502.04,1498.87
18732,2023-01-04 17:30:00,Cremonese,Juventus,0,1,51.56,0.3977,0.3346,-0.13,0.98,1495.28,1504.83
18733,2023-01-04 17:30:00,Fiorentina,Monza,1,1,61.01,0.4152,0.3249,-0.1552,1.447,1499.49,1498.71
18734,2023-01-04 19:45:00,Inter,Napoli,1,0,56.03,0.4059,0.33,-0.1419,0.978,1503.3,1506.44
18741,2023-01-04 19:45:00,Udinese,Empoli,1,1,63.37,0.4196,0.3225,-0.1616,1.447,1501.57,1498.43
18743,2023-01-07 14:00:00,Fiorentina,Sassuolo,2,1,62.12,0.4172,0.3238,-0.1582,0.984,1499.91,1496.96
18745,2023-01-07 17:00:00,Juventus,Udinese,1,0,63.26,0.4194,0.3226,-0.1613,0.983,1505.24,1501.16
18748,2023-01-07 19:45:00,Monza,Inter,2,2,55.4,0.4048,0.3307,-0.1402,1.459,1498.61,1503.41
18749,2023-01-08 11:30:00,Salernitana,Torino,1,1,58.67,0.4108,0.3273,-0.149,1.463,1498.33,1499.87
18746,2023-01-08 14:00:00,Lazio,Empoli,2,2,64.83,0.4223,0.3209,-0.1656,1.463,1503.15,1498.55
18751,2023-01-08 14:00:00,Spezia,Lecce,0,0,57.39,0.4084,0.3286,-0.1455,1.463,1496.8,1499.63
18750,2023-01-08 17:00:00,Sampdoria,Napoli,0,2,48.18,0.3915,0.3381,-0.121,1.573,1493.73,1507.32
18747,2023-01-08 19:45:00,AC Milan,Roma,2,2,62.6,0.4181,0.3233,-0.1595,1.463,1504.52,1502.15
18744,2023-01-09 17:30:00,Verona,Cremonese,2,0,59.38,0.4121,0.3266,-0.1508,1.569,1495.32,1494.61
18742,2023-01-09 19:45:00,Bologna,Atalanta,1,2,57.0,0.4077,0.329,-0.1445,0.991,1498.31,1502.44
18757,2023-01-13 19:45:00,Napoli,Juventus,5,1,62.08,0.4172,0.3238,-0.1581,2.322,1508.29,1504.26
18753,2023-01-14 14:00:00,Cremonese,Monza,2,3,56.01,0.4059,0.3301,-0.1418,1.005,1494.04,1499.18
18756,2023-01-14 17:00:00,Lecce,AC Milan,2,2,55.11,0.4042,0.331,-0.1394,1.487,1499.52,1504.62
18755,2023-01-14 19:45:00,Inter,Verona,1,0,68.09,0.4284,0.3175,-0.1744,1.0,1503.82,1494.91
18759,2023-01-15 11:30:00,Sassuolo,Lazio,0,2,53.81,0.4018,0.3323,-0.136,1.599,1496.05,1504.05
18760,2023-01-15 14:00:00,Torino,Spezia,0,1,63.07,0.419,0.3228,-0.1608,1.005,1499.29,1497.39
18761,2023-01-15 14:00:00,Udinese,Bologna,1,2,62.85,0.4186,0.323,-0.1602,1.005,1500.57,1498.89
18752,2023-01-15 17:00:00,Atalanta,Salernitana,8,2,64.11,0.421,0.3217,-0.1636,2.332,1503.41,1497.35
18758,2023-01-15 19:45:00,Roma,Fiorentina,2,0,62.25,0.4175,0.3236,-0.1586,1.593,1502.82,1499.24
18754,2023-01-16 19:45:00,Empoli,Sampdoria,1,0,64.82,0.4223,0.321,-0.1655,1.007,1498.97,1493.31
18764,2023-01-21 14:00:00,Verona,Lecce,2,0,55.38,0.4047,0.3307,-0.1401,1.625,1495.6,1498.83
18769,2023-01-21 17:00:00,Salernitana,Napoli,0,2,49.06,0.3931,0.3372,-0.1233,1.629,1496.44,1509.21
18763,2023-01-21 19:45:00,Fiorentina,Torino,0,1,59.94,0.4132,0.326,-0.1524,1.023,1498.65,1499.88
18770,2023-01-22 11:30:00,Sampdoria,Udinese,0,1,52.74,0.3998,0.3334,-0.1331,1.029,1492.73,1501.16
18768,2023-01-22 14:00:00,Monza,Sassuolo,1,1,63.13,0.4191,0.3227,-0.161,1.52,1499.06,1496.17
18771,2023-01-22 17:00:00,Spezia,Roma,0,2,54.56,0.4032,0.3316,-0.138,1.63,1496.46,1503.75
18766,2023-01-22 19:45:00,Juventus,Atalanta,3,3,60.85,0.4149,0.3251,-0.1548,1.52,1504.14,1503.53
18762,2023-01-23 17:30:00,Bologna,Cremonese,1,1,64.85,0.4223,0.3209,-0.1656,1.524,1498.76,1494.16
18765,2023-01-23 19:45:00,Inter,Empoli,0,1,64.84,0.4223,0.3209,-0.1656,1.026,1503.22,1499.57
18767,2023-01-24 19:45:00,Lazio,AC Milan,4,0,59.43,0.4122,0.3265,-0.151,2.395,1505.07,1503.61
18773,2023-01-27 17:30:00,Bologna,Spezia,2,0,62.3,0.4176,0.3236,-0.1587,1.647,1499.45,1495.77
18778,2023-01-27 19:45:00,Lecce,Salernitana,1,2,62.39,0.4177,0.3235,-0.1589,1.039,1498.22,1497.04
18775,2023-01-28 14:00:00,Empoli,Torino,2,2,59.69,0.4127,0.3263,-0.1517,1.545,1499.46,1500.0
18774,2023-01-28 17:00:00,Cremonese,Inter,1,2,50.94,0.3965,0.3353,-0.1283,1.047,1493.57,1503.81
18772,2023-01-28 19:45:00,Atalanta,Sampdoria,2,0,70.8,0.4335,0.3147,-0.1818,1.645,1504.2,1492.06
18779,2023-01-29 11:30:00,AC Milan,Sassuolo,2,5,67.43,0.4272,0.3182,-0.1726,2.084,1502.38,1497.39
18776,2023-01-29 14:00:00,Juventus,Monza,0,2,65.09,0.4228,0.3207,-0.1662,1.654,1503.18,1500.02
18777,2023-01-29 17:00:00,Lazio,Fiorentina,1,1,66.42,0.4253,0.3193,-0.1699,1.55,1504.94,1498.78
18780,2023-01-29 19:45:00,Napoli,Roma,2,1,65.46,0.4235,0.3203,-0.1672,1.043,1509.64,1503.32
