id,isResult,h,a,goals,xG,datetime,forecast
23129,True,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '0', 'a': '3'}","{'h': '0.573025', 'a': '1.87513'}",2023-10-21 13:30:00,"{'w': '0.073', 'd': '0.1956', 'l': '0.7314'}"
23130,True,"{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '2', 'a': '1'}","{'h': '2.5274', 'a': '1.37705'}",2023-10-21 13:30:00,"{'w': '0.6682', 'd': '0.1922', 'l': '0.1396'}"
23131,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '2'}","{'h': '1.3318', 'a': '2.27695'}",2023-10-21 13:30:00,"{'w': '0.1771', 'd': '0.2114', 'l': '0.6115'}"
23132,True,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '3'}","{'h': '1.13281', 'a': '2.13235'}",2023-10-21 13:30:00,"{'w': '0.155', 'd': '0.2131', 'l': '0.6319'}"
23133,True,"{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '1', 'a': '3'}","{'h': '1.68331', 'a': '1.83161'}",2023-10-21 13:30:00,"{'w': '0.331', 'd': '0.265', 'l': '0.404'}"
23134,True,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '3'}","{'h': '0.975025', 'a': '1.68693'}",2023-10-21 16:30:00,"{'w': '0.1892', 'd': '0.2406', 'l': '0.5702'}"
23135,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '3', 'a': '1'}","{'h': '2.72755', 'a': '0.407008'}",2023-10-22 13:30:00,"{'w': '0.9284', 'd': '0.0623', 'l': '0.0093'}"
23136,True,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '2', 'a': '5'}","{'h': '1.99327', 'a': '2.82353'}",2023-10-22 15:30:00,"{'w': '0.1895', 'd': '0.2201', 'l': '0.5904'}"
23143,True,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '2', 'a': '2'}","{'h': '2.13405', 'a': '0.443599'}",2023-10-27 18:30:00,"{'w': '0.8802', 'd': '0.0966', 'l': '0.0232'}"
23137,True,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '127', 'title': 'Darmstadt', 'short_title': 'DAR'}","{'h': '8', 'a': '0'}","{'h': '5.884', 'a': '0.924873'}",2023-10-28 13:30:00,"{'w': '0.9901', 'd': '0.0087', 'l': '0.0012'}"
23141,True,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '2', 'a': '1'}","{'h': '0.981009', 'a': '0.395956'}",2023-10-28 13:30:00,"{'w': '0.5003', 'd': '0.366', 'l': '0.1337'}"
23142,True,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '2', 'a': '0'}","{'h': '0.690799', 'a': '0.368624'}",2023-10-28 13:30:00,"{'w': '0.4047', 'd': '0.4264', 'l': '0.1689'}"
23144,True,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '3', 'a': '2'}","{'h': '1.59374', 'a': '1.25516'}",2023-10-28 13:30:00,"{'w': '0.4466', 'd': '0.3037', 'l': '0.2497'}"
23145,True,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '2', 'a': '3'}","{'h': '3.15109', 'a': '1.74412'}",2023-10-28 13:30:00,"{'w': '0.7215', 'd': '0.1824', 'l': '0.0961'}"
23138,True,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '6', 'a': '0'}","{'h': '4.85886', 'a': '1.32863'}",2023-10-28 16:30:00,"{'w': '0.9594', 'd': '0.0306', 'l': '0.01'}"
23140,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '3', 'a': '3'}","{'h': '3.67492', 'a': '2.41687'}",2023-10-29 14:30:00,"{'w': '0.6771', 'd': '0.1744', 'l': '0.1485'}"
